ngrams,freq,prop
just got ,627,0.000280442
let know ,586,0.000262104
can get ,565,0.000252711
year ago ,460,0.000205747
new year ,447,0.000199933
one day ,437,0.00019546
year old ,357,0.000159678
let us ,340,0.000152074
let go ,308,0.000137761
just saw ,306,0.000136867
can see ,279,0.00012479
go get ,270,0.000120765
san diego ,270,0.000120765
us know ,263,0.000117634
tri get ,238,0.000106452
go see ,228,0.000101979
just get ,219,9.80E-05
come soon ,209,9.35E-05
can go ,204,9.12E-05
go bed ,191,8.54E-05
r u ,191,8.54E-05
st loui ,187,8.36E-05
u know ,184,8.23E-05
just say ,177,7.92E-05
come see ,175,7.83E-05
two year ,172,7.69E-05
two week ,170,7.60E-05
u can ,170,7.60E-05
know can ,170,7.60E-05
just one ,169,7.56E-05
just go ,166,7.42E-05
rt rt ,166,7.42E-05
lol rt ,158,7.07E-05
can say ,158,7.07E-05
way go ,157,7.02E-05
can use ,155,6.93E-05
now just ,153,6.84E-05
even know ,147,6.57E-05
lol just ,136,6.08E-05
can just ,134,5.99E-05
may th ,134,5.99E-05
go go ,133,5.95E-05
day go ,133,5.95E-05
one can ,132,5.90E-05
rt just ,132,5.90E-05
week ago ,129,5.77E-05
ha ha ,127,5.68E-05
know go ,127,5.68E-05
get one ,126,5.64E-05
u r ,126,5.64E-05
see soon ,125,5.59E-05
two day ,125,5.59E-05
now know ,124,5.55E-05
u get ,124,5.55E-05
see u ,122,5.46E-05
oh god ,121,5.41E-05
day get ,119,5.32E-05
say hi ,118,5.28E-05
now get ,118,5.28E-05
now can ,116,5.19E-05
know just ,116,5.19E-05
rt 鈥c ,113,5.05E-05
can u ,113,5.05E-05
new one ,112,5.01E-05
im go ,110,4.92E-05
park lot ,110,4.92E-05
day just ,108,4.83E-05
come get ,107,4.79E-05
get see ,106,4.74E-05
yes yes ,106,4.74E-05
can also ,106,4.74E-05
u guy ,105,4.70E-05
now go ,104,4.65E-05
just tri ,103,4.61E-05
just let ,101,4.52E-05
let get ,99,4.43E-05
one two ,97,4.34E-05
get new ,97,4.34E-05
got new ,96,4.29E-05
know u ,95,4.25E-05
u u ,95,4.25E-05
don鈥檛 know ,95,4.25E-05
see can ,94,4.20E-05
see us ,92,4.11E-05
can come ,92,4.11E-05
way get ,91,4.07E-05
day week ,91,4.07E-05
one week ,89,3.98E-05
know get ,88,3.94E-05
get old ,87,3.89E-05
see ya ,86,3.85E-05
just now ,86,3.85E-05
now lol ,85,3.80E-05
know know ,84,3.76E-05
u go ,83,3.71E-05
just ask ,83,3.71E-05
get done ,83,3.71E-05
just know ,81,3.62E-05
day day ,81,3.62E-05
five year ,81,3.62E-05
get rid ,81,3.62E-05
see new ,79,3.53E-05
year now ,79,3.53E-05
u got ,78,3.49E-05
one just ,78,3.49E-05
yr old ,77,3.44E-05
mayb just ,75,3.35E-05
big fan ,74,3.31E-05
one year ,74,3.31E-05
u just ,74,3.31E-05
lot fun ,74,3.31E-05
abl get ,73,3.27E-05
see one ,72,3.22E-05
get way ,72,3.22E-05
call us ,72,3.22E-05
day can ,72,3.22E-05
im just ,71,3.18E-05
get go ,71,3.18E-05
just call ,70,3.13E-05
hip hop ,70,3.13E-05
hey guy ,70,3.13E-05
get job ,70,3.13E-05
lol u ,70,3.13E-05
oh man ,70,3.13E-05
end day ,69,3.09E-05
oh yes ,69,3.09E-05
can hear ,69,3.09E-05
know one ,68,3.04E-05
get know ,68,3.04E-05
lol know ,68,3.04E-05
day year ,68,3.04E-05
mayb can ,67,3.00E-05
go tri ,67,3.00E-05
day come ,67,3.00E-05
day one ,66,2.95E-05
see guy ,65,2.91E-05
go just ,65,2.91E-05
go way ,65,2.91E-05
even get ,64,2.86E-05
anyth els ,64,2.86E-05
get use ,64,2.86E-05
way can ,64,2.86E-05
one go ,63,2.82E-05
enjoy day ,63,2.82E-05
rt u ,62,2.77E-05
one way ,62,2.77E-05
just kid ,62,2.77E-05
m pm ,62,2.77E-05
got one ,62,2.77E-05
march th ,60,2.68E-05
just sit ,60,2.68E-05
just see ,60,2.68E-05
send us ,60,2.68E-05
haha just ,59,2.64E-05
year sinc ,59,2.64E-05
red sox ,59,2.64E-05
tri new ,59,2.64E-05
know got ,59,2.64E-05
new job ,58,2.59E-05
u come ,58,2.59E-05
one get ,58,2.59E-05
day lol ,58,2.59E-05
day now ,58,2.59E-05
yes rt ,58,2.59E-05
hot dog ,57,2.55E-05
day rt ,57,2.55E-05
can send ,57,2.55E-05
just hit ,57,2.55E-05
lol get ,57,2.55E-05
day life ,56,2.50E-05
just put ,56,2.50E-05
just use ,55,2.46E-05
web site ,55,2.46E-05
just day ,55,2.46E-05
life just ,55,2.46E-05
rt can ,54,2.42E-05
get bed ,54,2.42E-05
one one ,54,2.42E-05
day ago ,53,2.37E-05
get lot ,53,2.37E-05
lol go ,53,2.37E-05
just met ,53,2.37E-05
now come ,53,2.37E-05
see get ,53,2.37E-05
get mad ,52,2.33E-05
lol oh ,52,2.33E-05
rt know ,52,2.33E-05
us can ,51,2.28E-05
say one ,51,2.28E-05
year go ,51,2.28E-05
now im ,51,2.28E-05
say yes ,51,2.28E-05
welcom new ,50,2.24E-05
say can ,50,2.24E-05
one know ,50,2.24E-05
know lol ,50,2.24E-05
get get ,50,2.24E-05
go win ,50,2.24E-05
week go ,50,2.24E-05
can buy ,49,2.19E-05
yes can ,49,2.19E-05
d just ,49,2.19E-05
say anyth ,49,2.19E-05
u ur ,49,2.19E-05
s s ,49,2.19E-05
say just ,49,2.19E-05
now see ,48,2.15E-05
call mayb ,48,2.15E-05
bad news ,48,2.15E-05
old man ,48,2.15E-05
rt get ,47,2.10E-05
year eve ,47,2.10E-05
know im ,47,2.10E-05
can put ,47,2.10E-05
year year ,47,2.10E-05
say go ,47,2.10E-05
uh oh ,47,2.10E-05
new websit ,46,2.06E-05
rt go ,46,2.06E-05
bad day ,46,2.06E-05
us just ,46,2.06E-05
big day ,46,2.06E-05
day mom ,46,2.06E-05
huge fan ,46,2.06E-05
us get ,46,2.06E-05
pm pm ,45,2.01E-05
lol can ,45,2.01E-05
day till ,45,2.01E-05
can win ,45,2.01E-05
get us ,45,2.01E-05
rt oh ,45,2.01E-05
go now ,45,2.01E-05
new way ,45,2.01E-05
go one ,45,2.01E-05
ass ass ,45,2.01E-05
hey just ,44,1.97E-05
day new ,44,1.97E-05
lol im ,44,1.97E-05
one guy ,44,1.97E-05
