ngrams,freq,prop
let us know ,240,0.000107346
come see us ,52,2.33E-05
new year eve ,47,2.10E-05
ass ass ass ,38,1.70E-05
let know can ,36,1.61E-05
two year ago ,34,1.52E-05
just let know ,30,1.34E-05
yes yes yes ,29,1.30E-05
ha ha ha ,27,1.21E-05
just got done ,26,1.16E-05
us know can ,25,1.12E-05
x x x ,24,1.07E-05
two week ago ,23,1.03E-05
u u u ,21,9.39E-06
come say hi ,18,8.05E-06
new year day ,17,7.60E-06
omg omg omg ,17,7.60E-06
la la la ,16,7.16E-06
o o o ,16,7.16E-06
hey hey hey ,16,7.16E-06
just got new ,15,6.71E-06
just one day ,15,6.71E-06
hey just met ,14,6.26E-06
five year ago ,14,6.26E-06
go bed now ,14,6.26E-06
let u know ,14,6.26E-06
u know u ,13,5.81E-06
new year new ,13,5.81E-06
just tri get ,13,5.81E-06
just let go ,13,5.81E-06
get job done ,13,5.81E-06
year old son ,12,5.37E-06
oh oh oh ,12,5.37E-06
us let us ,12,5.37E-06
law tip day ,11,4.92E-06
can also use ,11,4.92E-06
go get em ,11,4.92E-06
u can get ,11,4.92E-06
just saw guy ,11,4.92E-06
six year ago ,10,4.47E-06
let know get ,10,4.47E-06
g fat g ,10,4.47E-06
can just go ,10,4.47E-06
go go go ,10,4.47E-06
two year old ,10,4.47E-06
fat g satur ,10,4.47E-06
see u soon ,10,4.47E-06
now can get ,10,4.47E-06
pic come soon ,10,4.47E-06
let know u ,10,4.47E-06
ten year ago ,10,4.47E-06
know can get ,10,4.47E-06
u guy r ,10,4.47E-06
sim sim sim ,10,4.47E-06
let just say ,9,4.03E-06
go go see ,9,4.03E-06
one day get ,9,4.03E-06
see can get ,9,4.03E-06
mayb one day ,9,4.03E-06
rt rt rt ,9,4.03E-06
year ago now ,9,4.03E-06
one year ago ,9,4.03E-06
one day go ,8,3.58E-06
mayb can get ,8,3.58E-06
rt just got ,8,3.58E-06
can get one ,8,3.58E-06
let know know ,8,3.58E-06
old r u ,8,3.58E-06
send us dm ,8,3.58E-06
im go bed ,8,3.58E-06
fun fun fun ,8,3.58E-06
may th pm ,7,3.13E-06
day just got ,7,3.13E-06
know anyth can ,7,3.13E-06
rt can get ,7,3.13E-06
just got call ,7,3.13E-06
lie lie lie ,7,3.13E-06
u kno u ,7,3.13E-06
just let us ,7,3.13E-06
can just say ,7,3.13E-06
get anyth done ,7,3.13E-06
go hand hand ,7,3.13E-06
one year old ,7,3.13E-06
now just got ,7,3.13E-06
boy oh boy ,7,3.13E-06
sad see go ,7,3.13E-06
go see new ,7,3.13E-06
see ya soon ,7,3.13E-06
mi run pace ,7,3.13E-06
r r r ,7,3.13E-06
hey r u ,6,2.68E-06
yum yum yum ,6,2.68E-06
day can go ,6,2.68E-06
go get one ,6,2.68E-06
let know go ,6,2.68E-06
hot hot hot ,6,2.68E-06
get hit car ,6,2.68E-06
r u come ,6,2.68E-06
year old boy ,6,2.68E-06
day year ago ,6,2.68E-06
just got ask ,6,2.68E-06
just year ago ,6,2.68E-06
oh know just ,6,2.68E-06
oh just got ,6,2.68E-06
websit come soon ,6,2.68E-06
yr old boy ,6,2.68E-06
one day just ,6,2.68E-06
call us now ,6,2.68E-06
just now get ,6,2.68E-06
can u plz ,6,2.68E-06
two day ago ,6,2.68E-06
let know got ,6,2.68E-06
march th pm ,6,2.68E-06
let go get ,6,2.68E-06
can go bed ,6,2.68E-06
one can see ,6,2.68E-06
know u r ,6,2.68E-06
d just got ,6,2.68E-06
rt just saw ,6,2.68E-06
now can go ,5,2.24E-06
less two week ,5,2.24E-06
go warp tour ,5,2.24E-06
just go get ,5,2.24E-06
go bed soon ,5,2.24E-06
year old just ,5,2.24E-06
鈥淚 don鈥檛 know ,5,2.24E-06
sinc year old ,5,2.24E-06
meet one day ,5,2.24E-06
now year old ,5,2.24E-06
let see can ,5,2.24E-06
us know goe ,5,2.24E-06
one day soon ,5,2.24E-06
one day can ,5,2.24E-06
week let know ,5,2.24E-06
let go just ,5,2.24E-06
come one day ,5,2.24E-06
let know anyth ,5,2.24E-06
mayb u can ,5,2.24E-06
hey can u ,5,2.24E-06
he鈥檚 just pig ,5,2.24E-06
just two day ,5,2.24E-06
hey can get ,5,2.24E-06
lol just saw ,5,2.24E-06
just saw ur ,5,2.24E-06
god oh god ,5,2.24E-06
way can get ,5,2.24E-06
us know get ,5,2.24E-06
can get rt ,5,2.24E-06
get get get ,5,2.24E-06
let know goe ,5,2.24E-06
can send link ,5,2.24E-06
go let go ,5,2.24E-06
eye can see ,5,2.24E-06
get new one ,5,2.24E-06
go just got ,5,2.24E-06
just one week ,5,2.24E-06
day u can ,5,2.24E-06
ugh ugh ugh ,5,2.24E-06
life just got ,5,2.24E-06
im tri get ,5,2.24E-06
let get rt ,5,2.24E-06
one day ill ,5,2.24E-06
w th st ,5,2.24E-06
now tri get ,5,2.24E-06
day san diego ,5,2.24E-06
one week till ,5,2.24E-06
end day just ,5,2.24E-06
u u can ,5,2.24E-06
one get one ,5,2.24E-06
just ad new ,5,2.24E-06
can let know ,5,2.24E-06
forget he鈥檚 just ,5,2.24E-06
yr old son ,5,2.24E-06
one can get ,5,2.24E-06
one know one ,5,2.24E-06
mayb can meet ,5,2.24E-06
one just got ,5,2.24E-06
lol just kid ,5,2.24E-06
rt let us ,5,2.24E-06
rt can just ,5,2.24E-06
come soon new ,5,2.24E-06
can go day ,4,1.79E-06
